	Time	1	2
S/N		946487	946487
Type		TGP-4520	TGP-4520
Description		TT14	TT14
Property		Black Probe Temperature	White Probe Temperature
269	3 mar 2025 07:40	-6.206 °C	-6.098 °C
270	3 mar 2025 07:50	-6.206 °C	-6.098 °C
271	3 mar 2025 08:00	-6.206 °C	-6.098 °C
272	3 mar 2025 08:10	-6.206 °C	-6.098 °C
273	3 mar 2025 08:20	-6.206 °C	-6.098 °C
274	3 mar 2025 08:30	-6.206 °C	-6.101 °C
275	3 mar 2025 08:40	-6.206 °C	-6.098 °C
276	3 mar 2025 08:50	-6.206 °C	-6.098 °C
277	3 mar 2025 09:00	-6.202 °C	-6.098 °C
278	3 mar 2025 09:10	-6.206 °C	-6.098 °C
279	3 mar 2025 09:20	-6.208 °C	-6.098 °C
280	3 mar 2025 09:30	-6.206 °C	-6.099 °C
281	3 mar 2025 09:40	-6.204 °C	-6.099 °C
282	3 mar 2025 09:50	-6.204 °C	-6.099 °C
283	3 mar 2025 10:00	-6.204 °C	-6.098 °C
284	3 mar 2025 10:10	-6.204 °C	-6.099 °C
285	3 mar 2025 10:20	-6.204 °C	-6.099 °C
286	3 mar 2025 10:30	-6.204 °C	-6.099 °C
287	3 mar 2025 10:40	-6.204 °C	-6.099 °C
288	3 mar 2025 10:50	-6.206 °C	-6.098 °C
289	3 mar 2025 11:00	-6.204 °C	-6.099 °C
290	3 mar 2025 11:10	-6.204 °C	-6.099 °C
291	3 mar 2025 11:20	-6.204 °C	-6.099 °C
292	3 mar 2025 11:30	-6.204 °C	-6.099 °C
293	3 mar 2025 11:40	-6.204 °C	-6.099 °C
294	3 mar 2025 11:50	-6.204 °C	-6.099 °C
295	3 mar 2025 12:00	-6.204 °C	-6.098 °C
296	3 mar 2025 12:10	-6.204 °C	-6.099 °C
297	3 mar 2025 12:20	-6.204 °C	-6.099 °C
298	3 mar 2025 12:30	-6.202 °C	-6.099 °C
299	3 mar 2025 12:40	-6.204 °C	-6.098 °C
300	3 mar 2025 12:50	-6.202 °C	-6.099 °C
301	3 mar 2025 13:00	-6.202 °C	-6.099 °C
302	3 mar 2025 13:10	-6.202 °C	-6.099 °C
303	3 mar 2025 13:20	-6.200 °C	-6.099 °C
304	3 mar 2025 13:30	-6.202 °C	-6.099 °C
305	3 mar 2025 13:40	-6.202 °C	-6.098 °C
306	3 mar 2025 13:50	-6.202 °C	-6.099 °C
307	3 mar 2025 14:00	-6.202 °C	-6.098 °C
308	3 mar 2025 14:10	-6.202 °C	-6.098 °C
309	3 mar 2025 14:20	-6.202 °C	-6.099 °C
310	3 mar 2025 14:30	-6.202 °C	-6.099 °C
311	3 mar 2025 14:40	-6.202 °C	-6.098 °C
312	3 mar 2025 14:50	-6.202 °C	-6.098 °C
313	3 mar 2025 15:00	-6.202 °C	-6.098 °C
314	3 mar 2025 15:10	-6.200 °C	-6.098 °C
315	3 mar 2025 15:20	-6.202 °C	-6.098 °C
316	3 mar 2025 15:30	-6.200 °C	-6.098 °C
317	3 mar 2025 15:40	-6.200 °C	-6.099 °C
318	3 mar 2025 15:50	-6.200 °C	-6.098 °C
319	3 mar 2025 16:00	-6.200 °C	-6.098 °C
320	3 mar 2025 16:10	-6.200 °C	-6.098 °C
321	3 mar 2025 16:20	-6.200 °C	-6.098 °C
322	3 mar 2025 16:30	-6.200 °C	-6.098 °C
323	3 mar 2025 16:40	-6.200 °C	-6.098 °C
324	3 mar 2025 16:50	-6.200 °C	-6.098 °C
325	3 mar 2025 17:00	-6.200 °C	-6.094 °C
326	3 mar 2025 17:10	-6.200 °C	-6.098 °C
327	3 mar 2025 17:20	-6.200 °C	-6.098 °C
328	3 mar 2025 17:30	-6.200 °C	-6.098 °C
329	3 mar 2025 17:40	-6.198 °C	-6.098 °C
330	3 mar 2025 17:50	-6.200 °C	-6.098 °C
331	3 mar 2025 18:00	-6.198 °C	-6.098 °C
332	3 mar 2025 18:10	-6.198 °C	-6.099 °C
333	3 mar 2025 18:20	-6.198 °C	-6.098 °C
334	3 mar 2025 18:30	-6.200 °C	-6.098 °C
335	3 mar 2025 18:40	-6.198 °C	-6.096 °C
336	3 mar 2025 18:50	-6.198 °C	-6.098 °C
337	3 mar 2025 19:00	-6.198 °C	-6.098 °C
338	3 mar 2025 19:10	-6.198 °C	-6.096 °C
339	3 mar 2025 19:20	-6.198 °C	-6.098 °C
340	3 mar 2025 19:30	-6.196 °C	-6.098 °C
341	3 mar 2025 19:40	-6.198 °C	-6.098 °C
